No,회사,제목,지역,상세보기
102,(주)프리즘투자자문,백엔드 엔지니어(C# Python) 채용(유연근무),서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54218713&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
103,엑스보스주식회사,Python 워크플로우 자동화 개발자,서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54282488&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
104,(주)엔엔에프텍,"신입 소프트웨어 개발자 (C, Python 등)",대전 유성구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54309171&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
105,GL컴퍼니,로봇 소프트웨어 개발자(Python · ROS) 모집(신입/경력),부산 사상구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54214213&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
106,클립데이터(주),"Python , DJango/DJangoRestframework 기반 웹서비스 개발",서울 강서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54255019&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
107,(주)빅링크에이아이,생성형 AI 빅데이터 마케팅 플랫폼 데이터엔지니어(python)채용,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54004173&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
108,부산인터넷방송국,"Java, PHP, Python, CMS 웹응용프로그램 개발자 모집",부산 부산진구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54278764&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
109,(주)지에스아이오토모티브,"SW 품질 SQA(Python, APP, Web) 인원 정규직 채용",서울 서초구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54378701&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
110,케이엠아이시스템(주),케이엠아이시스템(주)-컴퓨터 전공자(C#/파이선) 경력 모집,경기 성남시 중원구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54244693&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
111,(주)엔이에스,엔이에스 Python 개발자 채용,충북 청주시 청원구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54355006&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
112,(주)펫박스,Python 백엔드 개발자_9년이상,서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54307262&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
113,(주)펫박스,Python 백엔드 개발자_6년~8년 채용,서울 마포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54307186&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
114,(주)엠이에이엔,(주)엠이에이엔에서 AI Agent·Python 개발자 모시고 있어요,경기 성남시 분당구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54416515&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
115,주식회사 오토패스,주식회사 오토패스에서 Python·AWS·OCR 개발자 모셔요,경기 파주시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54074200&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
116,엠케이시스템,엠케이시스템에서 Python/Flask 개발자 모셔요,서울 영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54432206&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
117,에이치알포유(주),Python 백엔드 엔지니어 (9자리),경기 화성시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54349715&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
118,(주)대원씨앤씨,"[종로] C# 시스템 Python 전환 개발 (azure devops /Python, C#)",서울 종로구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54361530&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
119,(주)지란지교에스앤씨,"Linux/Unix 기반 개발자(경력) 모집 (c, python, go)",서울 송파구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54026578&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
120,(주)씨이랩,[경력] AI Agent & Python Backend Engineer,서울 강남구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54105220&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
121,(주)링크제니시스,차량용 S/W Test 자동화 개발(Python),인천 서구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54078638&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
122,(주)왓섭,"[금융, IT] Python 백엔드 개발자 3년차",서울 영등포구,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53929562&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=ce89093c-5930-4b03-8d31-6584237baf2d
